FTLab Radon Data
Model Name:	Radon Eye
S/N:	RE22002111054
Unit:	Bq/m3
Time step:	1hour
Data No:	1576
1)	48
2)	43
3)	42
4)	59
5)	45
6)	52
7)	59
8)	49
9)	61
10)	58
11)	78
12)	71
13)	76
14)	86
15)	15
16)	15
17)	27
18)	43
19)	36
20)	48
21)	36
22)	42
23)	58
24)	61
25)	74
26)	70
27)	74
28)	40
29)	52
30)	58
31)	97
32)	76
33)	61
34)	64
35)	48
36)	65
37)	52
38)	40
39)	59
40)	40
41)	21
42)	31
43)	26
44)	24
45)	48
46)	58
47)	84
48)	106
49)	119
50)	137
51)	59
52)	84
53)	59
54)	92
55)	84
56)	67
57)	86
58)	134
59)	134
60)	151
61)	137
62)	147
63)	97
64)	31
65)	84
66)	112
67)	125
68)	109
69)	108
70)	93
71)	100
72)	144
73)	119
74)	134
75)	145
76)	148
77)	142
78)	131
79)	138
80)	132
81)	121
82)	125
83)	189
84)	225
85)	226
86)	256
87)	109
88)	52
89)	58
90)	71
91)	75
92)	80
93)	46
94)	113
95)	125
96)	93
97)	112
98)	67
99)	70
100)	83
101)	68
102)	87
103)	105
104)	86
105)	113
106)	108
107)	102
108)	121
109)	121
110)	93
111)	91
112)	24
113)	40
114)	49
115)	37
116)	61
117)	89
118)	103
119)	84
120)	84
121)	100
122)	62
123)	61
124)	65
125)	74
126)	62
127)	80
128)	106
129)	119
130)	118
131)	121
132)	134
133)	150
134)	147
135)	142
136)	71
137)	27
138)	27
139)	29
140)	42
141)	48
142)	59
143)	45
144)	71
145)	81
146)	122
147)	128
148)	89
149)	81
150)	100
151)	119
152)	100
153)	126
154)	131
155)	148
156)	129
157)	140
158)	148
159)	132
160)	37
161)	31
162)	18
163)	39
164)	40
165)	45
166)	40
167)	40
168)	56
169)	59
170)	68
171)	52
172)	71
173)	84
174)	92
175)	135
176)	103
177)	89
178)	100
179)	173
180)	118
181)	131
182)	155
183)	109
184)	32
185)	21
186)	52
187)	78
188)	64
189)	68
190)	99
191)	105
192)	125
193)	119
194)	51
195)	49
196)	91
197)	74
198)	115
199)	89
200)	102
201)	121
202)	83
203)	103
204)	74
205)	106
206)	84
207)	96
208)	42
209)	23
210)	24
211)	31
212)	32
213)	42
214)	70
215)	71
216)	32
217)	42
218)	37
219)	27
220)	58
221)	42
222)	83
223)	87
224)	92
225)	89
226)	106
227)	109
228)	99
229)	100
230)	109
231)	102
232)	39
233)	34
234)	17
235)	40
236)	39
237)	37
238)	39
239)	36
240)	23
241)	26
242)	40
243)	45
244)	78
245)	71
246)	87
247)	108
248)	87
249)	92
250)	126
251)	112
252)	115
253)	92
254)	99
255)	100
256)	21
257)	14
258)	32
259)	24
260)	31
261)	64
262)	71
263)	48
264)	17
265)	21
266)	36
267)	34
268)	34
269)	39
270)	76
271)	96
272)	89
273)	93
274)	109
275)	109
276)	106
277)	89
278)	93
279)	75
280)	20
281)	23
282)	23
283)	39
284)	62
285)	48
286)	67
287)	67
288)	59
289)	45
290)	52
291)	80
292)	64
293)	86
294)	106
295)	108
296)	103
297)	132
298)	121
299)	132
300)	112
301)	105
302)	150
303)	115
304)	115
305)	58
306)	42
307)	51
308)	20
309)	15
310)	34
311)	58
312)	59
313)	58
314)	103
315)	151
316)	140
317)	180
318)	186
319)	171
320)	155
321)	151
322)	155
323)	183
324)	151
325)	145
326)	153
327)	61
328)	32
329)	64
330)	56
331)	97
332)	71
333)	78
334)	103
335)	51
336)	52
337)	48
338)	52
339)	64
340)	70
341)	78
342)	62
343)	70
344)	83
345)	105
346)	81
347)	92
348)	91
349)	108
350)	87
351)	48
352)	31
353)	23
354)	49
355)	49
356)	39
357)	45
358)	58
359)	45
360)	56
361)	43
362)	71
363)	58
364)	83
365)	86
366)	92
367)	83
368)	99
369)	99
370)	89
371)	74
372)	70
373)	97
374)	87
375)	56
376)	31
377)	40
378)	29
379)	39
380)	59
381)	39
382)	46
383)	68
384)	27
385)	36
386)	46
387)	56
388)	49
389)	56
390)	68
391)	76
392)	61
393)	59
394)	67
395)	59
396)	81
397)	135
398)	97
399)	108
400)	36
401)	36
402)	42
403)	42
404)	59
405)	87
406)	112
407)	115
408)	132
409)	112
410)	93
411)	116
412)	125
413)	134
414)	147
415)	164
416)	145
417)	148
418)	151
419)	167
420)	150
421)	173
422)	150
423)	171
424)	68
425)	71
426)	102
427)	121
428)	197
429)	177
430)	128
431)	196
432)	222
433)	213
434)	199
435)	59
436)	103
437)	115
438)	112
439)	108
440)	119
441)	131
442)	118
443)	164
444)	160
445)	150
446)	164
447)	166
448)	177
449)	170
450)	125
451)	26
452)	23
453)	32
454)	64
455)	76
456)	84
457)	125
458)	180
459)	180
460)	180
461)	202
462)	166
463)	166
464)	140
465)	161
466)	164
467)	131
468)	161
469)	153
470)	137
471)	144
472)	43
473)	8
474)	23
475)	32
476)	39
477)	42
478)	48
479)	83
480)	48
481)	51
482)	87
483)	81
484)	78
485)	58
486)	74
487)	70
488)	81
489)	108
490)	83
491)	59
492)	80
493)	103
494)	86
495)	103
496)	92
497)	100
498)	106
499)	112
500)	92
501)	65
502)	51
503)	65
504)	55
505)	67
506)	59
507)	59
508)	71
509)	48
510)	78
511)	70
512)	59
513)	59
514)	52
515)	81
516)	70
517)	92
518)	96
519)	36
520)	23
521)	24
522)	37
523)	29
524)	45
525)	37
526)	48
527)	81
528)	34
529)	27
530)	42
531)	64
532)	59
533)	59
534)	68
535)	75
536)	84
537)	86
538)	78
539)	76
540)	84
541)	87
542)	118
543)	121
544)	161
545)	184
546)	70
547)	129
548)	121
549)	119
550)	125
551)	164
552)	119
553)	62
554)	102
555)	116
556)	121
557)	147
558)	155
559)	158
560)	140
561)	192
562)	171
563)	151
564)	170
565)	177
566)	161
567)	155
568)	52
569)	32
570)	34
571)	45
572)	78
573)	115
574)	142
575)	58
576)	29
577)	64
578)	119
579)	134
580)	161
581)	167
582)	158
583)	151
584)	163
585)	174
586)	160
587)	164
588)	166
589)	187
590)	197
591)	128
592)	62
593)	75
594)	109
595)	155
596)	157
597)	171
598)	174
599)	160
600)	76
601)	67
602)	61
603)	43
604)	80
605)	68
606)	89
607)	97
608)	142
609)	125
610)	128
611)	126
612)	163
613)	166
614)	153
615)	137
616)	64
617)	40
618)	17
619)	34
620)	26
621)	24
622)	39
623)	15
624)	26
625)	31
626)	43
627)	49
628)	78
629)	103
630)	103
631)	119
632)	167
633)	145
634)	173
635)	158
636)	163
637)	173
638)	203
639)	187
640)	134
641)	109
642)	40
643)	34
644)	55
645)	59
646)	122
647)	102
648)	119
649)	148
650)	129
651)	119
652)	135
653)	148
654)	150
655)	157
656)	163
657)	150
658)	142
659)	171
660)	173
661)	203
662)	183
663)	190
664)	118
665)	103
666)	89
667)	64
668)	87
669)	109
670)	122
671)	155
672)	59
673)	58
674)	121
675)	142
676)	144
677)	147
678)	128
679)	151
680)	138
681)	137
682)	121
683)	131
684)	119
685)	135
686)	155
687)	125
688)	32
689)	11
690)	23
691)	46
692)	55
693)	70
694)	99
695)	151
696)	196
697)	263
698)	171
699)	174
700)	173
701)	155
702)	171
703)	148
704)	215
705)	144
706)	170
707)	140
708)	160
709)	161
710)	200
711)	112
712)	32
713)	24
714)	18
715)	24
716)	52
717)	59
718)	62
719)	80
720)	93
721)	91
722)	51
723)	48
724)	40
725)	59
726)	74
727)	74
728)	64
729)	100
730)	83
731)	87
732)	87
733)	80
734)	132
735)	126
736)	62
737)	18
738)	17
739)	21
740)	29
741)	39
742)	39
743)	32
744)	32
745)	8
746)	18
747)	40
748)	55
749)	42
750)	68
751)	83
752)	78
753)	84
754)	81
755)	91
756)	102
757)	102
758)	92
759)	109
760)	29
761)	32
762)	61
763)	64
764)	26
765)	18
766)	14
767)	29
768)	36
769)	46
770)	46
771)	70
772)	68
773)	71
774)	103
775)	89
776)	100
777)	84
778)	97
779)	115
780)	131
781)	140
782)	125
783)	145
784)	128
785)	40
786)	32
787)	45
788)	56
789)	52
790)	68
791)	67
792)	55
793)	55
794)	83
795)	89
796)	99
797)	109
798)	121
799)	91
800)	89
801)	132
802)	119
803)	96
804)	150
805)	140
806)	155
807)	86
808)	21
809)	5
810)	14
811)	20
812)	49
813)	52
814)	61
815)	55
816)	86
817)	105
818)	108
819)	106
820)	108
821)	118
822)	122
823)	203
824)	213
825)	202
826)	239
827)	219
828)	279
829)	387
830)	432
831)	467
832)	128
833)	40
834)	27
835)	29
836)	20
837)	55
838)	39
839)	61
840)	59
841)	55
842)	84
843)	96
844)	86
845)	129
846)	109
847)	108
848)	108
849)	170
850)	153
851)	138
852)	177
853)	161
854)	122
855)	190
856)	32
857)	26
858)	24
859)	36
860)	37
861)	58
862)	76
863)	70
864)	43
865)	12
866)	5
867)	8
868)	29
869)	34
870)	46
871)	102
872)	138
873)	155
874)	164
875)	166
876)	147
877)	144
878)	155
879)	151
880)	32
881)	36
882)	36
883)	31
884)	26
885)	32
886)	36
887)	61
888)	65
889)	61
890)	56
891)	87
892)	100
893)	126
894)	137
895)	129
896)	153
897)	121
898)	164
899)	155
900)	170
901)	199
902)	235
903)	62
904)	39
905)	27
906)	40
907)	49
908)	45
909)	52
910)	62
911)	64
912)	56
913)	29
914)	52
915)	43
916)	40
917)	61
918)	70
919)	64
920)	48
921)	68
922)	75
923)	86
924)	76
925)	80
926)	68
927)	56
928)	86
929)	59
930)	55
931)	48
932)	15
933)	4
934)	8
935)	24
936)	27
937)	31
938)	32
939)	20
940)	26
941)	55
942)	46
943)	59
944)	74
945)	96
946)	100
947)	163
948)	158
949)	166
950)	209
951)	183
952)	75
953)	21
954)	24
955)	49
956)	65
957)	55
958)	70
959)	80
960)	108
961)	32
962)	37
963)	36
964)	56
965)	75
966)	103
967)	119
968)	96
969)	122
970)	131
971)	144
972)	142
973)	160
974)	160
975)	125
976)	32
977)	18
978)	14
979)	2
980)	1
981)	1
982)	0
983)	8
984)	15
985)	20
986)	29
987)	36
988)	56
989)	68
990)	83
991)	105
992)	84
993)	122
994)	109
995)	142
996)	145
997)	161
998)	134
999)	68
1000)	32
1001)	26
1002)	23
1003)	27
1004)	36
1005)	37
1006)	58
1007)	55
1008)	68
1009)	92
1010)	89
1011)	64
1012)	115
1013)	119
1014)	135
1015)	126
1016)	125
1017)	138
1018)	142
1019)	144
1020)	192
1021)	174
1022)	166
1023)	177
1024)	99
1025)	36
1026)	20
1027)	31
1028)	37
1029)	21
1030)	43
1031)	52
1032)	48
1033)	52
1034)	67
1035)	71
1036)	46
1037)	62
1038)	48
1039)	62
1040)	65
1041)	67
1042)	70
1043)	75
1044)	93
1045)	103
1046)	81
1047)	113
1048)	190
1049)	151
1050)	46
1051)	40
1052)	32
1053)	39
1054)	49
1055)	56
1056)	86
1057)	180
1058)	210
1059)	212
1060)	258
1061)	135
1062)	135
1063)	147
1064)	174
1065)	138
1066)	161
1067)	179
1068)	187
1069)	171
1070)	200
1071)	164
1072)	131
1073)	42
1074)	20
1075)	26
1076)	48
1077)	128
1078)	103
1079)	131
1080)	42
1081)	42
1082)	29
1083)	43
1084)	40
1085)	67
1086)	91
1087)	115
1088)	106
1089)	84
1090)	122
1091)	137
1092)	84
1093)	135
1094)	138
1095)	118
1096)	49
1097)	43
1098)	36
1099)	49
1100)	40
1101)	42
1102)	49
1103)	49
1104)	58
1105)	42
1106)	61
1107)	42
1108)	61
1109)	61
1110)	56
1111)	64
1112)	67
1113)	71
1114)	71
1115)	76
1116)	59
1117)	68
1118)	46
1119)	52
1120)	29
1121)	18
1122)	21
1123)	27
1124)	26
1125)	31
1126)	21
1127)	58
1128)	56
1129)	65
1130)	56
1131)	68
1132)	78
1133)	83
1134)	74
1135)	78
1136)	62
1137)	56
1138)	75
1139)	65
1140)	56
1141)	65
1142)	52
1143)	51
1144)	61
1145)	64
1146)	31
1147)	14
1148)	18
1149)	26
1150)	48
1151)	43
1152)	40
1153)	51
1154)	51
1155)	48
1156)	78
1157)	64
1158)	84
1159)	131
1160)	96
1161)	78
1162)	70
1163)	68
1164)	84
1165)	74
1166)	59
1167)	31
1168)	29
1169)	36
1170)	18
1171)	34
1172)	27
1173)	48
1174)	43
1175)	40
1176)	51
1177)	70
1178)	52
1179)	43
1180)	40
1181)	52
1182)	68
1183)	76
1184)	80
1185)	87
1186)	102
1187)	78
1188)	83
1189)	80
1190)	84
1191)	76
1192)	59
1193)	70
1194)	55
1195)	87
1196)	65
1197)	49
1198)	15
1199)	11
1200)	17
1201)	23
1202)	32
1203)	37
1204)	32
1205)	39
1206)	31
1207)	45
1208)	58
1209)	45
1210)	62
1211)	59
1212)	70
1213)	71
1214)	65
1215)	67
1216)	65
1217)	62
1218)	71
1219)	75
1220)	80
1221)	55
1222)	48
1223)	62
1224)	68
1225)	56
1226)	42
1227)	58
1228)	71
1229)	87
1230)	86
1231)	84
1232)	84
1233)	112
1234)	132
1235)	106
1236)	108
1237)	115
1238)	92
1239)	32
1240)	26
1241)	32
1242)	49
1243)	34
1244)	40
1245)	49
1246)	56
1247)	71
1248)	68
1249)	87
1250)	91
1251)	112
1252)	96
1253)	113
1254)	112
1255)	142
1256)	128
1257)	131
1258)	137
1259)	137
1260)	122
1261)	151
1262)	148
1263)	121
1264)	96
1265)	27
1266)	51
1267)	40
1268)	34
1269)	56
1270)	45
1271)	46
1272)	46
1273)	55
1274)	39
1275)	78
1276)	80
1277)	75
1278)	119
1279)	144
1280)	137
1281)	148
1282)	174
1283)	137
1284)	177
1285)	177
1286)	163
1287)	142
1288)	192
1289)	183
1290)	206
1291)	202
1292)	164
1293)	158
1294)	46
1295)	18
1296)	20
1297)	34
1298)	40
1299)	37
1300)	52
1301)	67
1302)	93
1303)	102
1304)	74
1305)	81
1306)	84
1307)	93
1308)	96
1309)	121
1310)	121
1311)	97
1312)	83
1313)	81
1314)	45
1315)	18
1316)	12
1317)	11
